DEBUG: | 0x18 - test 4, 4 | tick : 0x3f -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x19 - be 29 | tick : 0x40 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x41 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x42 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x43 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x44 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x45 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x46 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x47 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x48 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
